,gene0,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99
cell10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,6,2,0,2,0,3,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,4,0,0,3,0,2,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
cell11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
cell12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cell13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0
cell14,1,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,2,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0
cell15,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,5,0,1,0,0,2,1,0,6,2,0,0,0,0,0,0,9,0,1,0,3,0,5,4,1,0,0,0,1,0,0,4,0,2,0,0,0,8,0,0,0,0,0,8,0
cell16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,1
cell17,3,0,0,0,0,1,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,1,0,4,1,2,4,0,0,0,3,4,3,0,2,3,0,8,0,1,4,3,0,0,1,0,3,0,0,4,0,2,0,3,0,0,0,3,0,4,0,0,1,2,0,0,0,2,0,4,5
cell18,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0
cell19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,2,3,5,5,2,0,0,0,0,1,3,0,4,3,3,3,0,4,4,5,4,0,0,0,3,0,9,1,4,3,0,0,4,2,0,0,2,1,6,2,0,6,2,2,0,0,1,3,4
cell20,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,5,0,0,1,3,0,3,0,1,2,0,2,0,3,3,0,0,0,2,0,5,0,5,2,0,0,4,0,0,3,0,6,1,0,0,0,0,0,0,1,1,3,0
cell21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
cell22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,3,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,1,4,0,3,1,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,2
cell23,2,0,0,0,1,0,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,2,1,0,1,5,2,0,0,1,0,0,3,2,0,4,2,1,3,0,1,0,6,2,0,3,0,1,0,3,0,2,1,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0
cell24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,1,0,5,2,1,0,0,0,1,5,0,0,3,0,2,0,5,1,3,7,1,0,1,0,3,0,0,2,0,0,0,2,0,0,0,0,0,2,0
cell25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
cell26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
cell27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,3,0
cell28,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,3,1,0,0,2,0,1,0,0,0,2,0
cell29,1,4,3,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,1,0,0,2,0,1,0,0,0,3,0,1,0,3,0,0,0,1,0,0,3,1,7,0,1,2,0,0,0,0,1,1,0,4,0,0,0,0,5,0,0,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,2,1,4,0,0,2,1,0,0,1,0,0,8,0
cell30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
cell31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,5,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,7,2,0,0,0,0,3,0,0,5,1,0,6,0,0,2,3,2,0,2,0,0,1,1,0,1,4,2,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,2,0
cell32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cell33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,3,5,0,0,0,1,4,0,3,0,1,0,2,0,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
cell34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cell35,2,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,3,2,3,2,0,0,0,0,0,2,0,4,2,0,4,0,0,0,0,5,1,2,0,2,0,1,0,1,4,4,0,0,0,2,1,0,0,0,1,1,3,0,0,0,0,0,0,0
cell36,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,4,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,6,0,0,6,4,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,3,0
cell37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0
cell38,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,1,0,3,3,0,7,0,0,5,0,2,4,7,6,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,3,1,4,1,4,5,0,0,0,0,3,3,0
cell39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
cell40,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
cell41,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
cell42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,1,0,7,1,3,3,0,0,0,4,3,0,0,0,0,0,3,0,2,0,2,0,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
cell43,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,2,0,4,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,1,3,0,4,2,7,4,2,1,3,0,3,0,3,3,1,0,2,5,0,1,0,0,1,3,4,0,0,0,1,0,9,2,2,0,0,4,3,0,3,4,3,4,7,0,0,0,0,2,1,0,0,4,5
cell44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
cell45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,2,2,0,1,0,0,0,0,0,2,1
cell46,0,3,2,0,0,2,0,0,0,2,0,0,1,0,3,0,4,0,0,0,0,0,1,0,0,0,2,0,4,4,0,0,2,0,2,0,0,0,3,3,0,1,2,2,0,0,0,5,0,3,0,4,5,1,2,2,0,7,0,0,2,3,0,2,5,1,8,0,3,0,5,4,2,0,0,0,4,7,3,0,4,3,0,2,0,9,3,0,4,4,0,2,7,0,1,0,0,0,3,1
cell47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
cell48,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell49,2,1,0,0,0,0,4,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,3,2,5,2,0,0,0,3,4,0,0,5,7,2,2,0,0,0,0,0,3,3,0,0,0,4,1,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,7,4
cell50,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,1
cell51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,2,0,3,2,0,1,0,0,5,2,1,1,0,0,2,0,6,3,0,0,0,0,0,0,0,3,0,2,0,0,0,6,0,0,0,1,0,5,0
cell52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cell53,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,4,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,3,0,0,0,1,5,3,0,0,0,0,3,0,0,1,3,0,2,0,0,4,0,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,1,1,3,3,0,0,4,0,0,5,0,0,0,0
cell54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,6,0,0,6,0,1,0,0,0,0,0,0,0,1,3,0,7,2,0,0,1,0,3,0,0,5,3,0,0,0,0,0,0,0,0,2,0
cell55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell56,2,4,0,0,0,0,2,0,2,1,0,4,3,0,2,1,0,0,2,3,0,3,1,0,2,1,0,2,0,3,5,0,0,0,2,2,0,2,0,3,2,0,0,1,0,0,4,6,0,6,0,0,4,7,1,3,0,3,0,0,0,6,0,5,5,1,7,0,1,0,2,2,1,2,0,1,0,6,0,2,4,0,0,2,0,1,3,0,4,1,0,3,0,0,0,0,0,0,6,0
cell57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell58,3,4,2,0,0,0,0,0,0,3,0,5,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,6,5,0,0,0,1,3,4,0,6,1,0,0,0,1,0,2,0,3,1,0,4,0,2,0,0,0,1,0,5,0,2,0,0,3,0,1,0,0,0,0,0,0,0,4,0
cell59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
cell60,0,3,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,6,0,3,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,5,0,0,5,0,2,0,2,6,2,0,2,0,0,4,0,2,1,4,0,0,0,0,0,0,9,0,2,0,0,0,2,0,3,2,0,4,1,0,0,0,0,3,0,0,0,3,3
cell61,2,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,5,4,0,3,4,0,3,0,1,0,0,5,0,0,0,0,0,3,1,0,0,0,1,1,0,0,2,0,7,0,0,1,3,0,0,0,0,2,3,0
cell62,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,3,0,0,2,3,4,3,0,0,0,0,1,2,0,4,0,1,1,0,5,0,2,1,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
cell63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0
